label,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
metal,Myrkur,0.55,0.53,0,-11.147,0,0.0342,0.809,0.00399,0.13,0.545,93.927,218112,4
metal,Dark Sarah,0.349,0.936,9,-6.301,0,0.0765,2.92e-5,0.0769,0.427,0.209,165.024,388624,4
metal,END,0.182,0.911,0,-3.404,1,0.0556,6.87e-6,0.00269,0.299,0.323,138.149,209940,4
metal,My Favourite Nemesis,0.541,0.958,4,-4.669,0,0.148,5.45e-4,6.75e-5,0.246,0.249,95.015,239766,4
metal,Hulkoff,0.487,0.984,1,-4.79,1,0.161,4.39e-4,0.0234,0.354,0.291,120.031,225627,4
metal,Tungsten,0.535,0.857,2,-5.441,0,0.0409,0.0119,0,0.0603,0.649,140.014,232071,4
metal,Supreme Unbeing,0.489,0.884,6,-11.751,1,0.0473,2.59e-5,0.294,0.124,0.284,134.994,323030,4
metal,Downswing,0.2,0.985,7,-2.583,1,0.25,5.2e-5,1.51e-5,0.314,0.0726,183.245,172636,4
metal,P.O.D.,0.197,0.875,5,-6.129,1,0.095,0.00267,0.456,0.2,0.258,158.705,248693,4
metal,Stepson,0.532,0.992,10,-2.68,0,0.135,7.94e-4,0,0.1,0.5,90.019,203244,4
metal,VOLA,0.49,0.872,7,-7.247,1,0.0424,2.47e-4,0.0859,0.0622,0.173,126.725,334400,4
metal,Jasta,0.353,0.994,6,-3.38,1,0.204,2e-4,0,0.39,0.154,184.932,168164,4
metal,Marilyn Manson,0.607,0.938,0,-3.072,1,0.0487,0.00228,7.09e-4,0.149,0.65,110.014,266702,4
metal,Darkcell,0.486,0.975,0,-4.016,1,0.11,0.00177,1.51e-5,0.929,0.131,105.005,281838,4
metal,Judas Priest,0.61,0.824,4,-6.046,1,0.0534,0.0136,1.75e-6,0.0606,0.819,134.992,210133,4
metal,Ministry,0.541,0.91,0,-5.114,1,0.0529,4.33e-6,0.597,0.79,0.397,125.076,292587,3
metal,The Northern,0.429,0.996,5,-4.125,0,0.355,0.00204,1.26e-6,0.118,0.035,147.921,280540,4
metal,Wednesday 13,0.568,0.89,5,-7.763,1,0.0446,4.6e-5,0.015,0.2,0.835,151.101,314358,4
metal,Slipknot,0.354,0.982,4,-3.026,0,0.168,2.37e-4,2.94e-4,0.204,0.194,143.772,252613,4
metal,Bad/Love,0.452,0.862,10,-4.293,0,0.0616,1.53e-4,0,0.178,0.164,83.093,211696,4
metal,Ulver,0.569,0.499,9,-13.927,0,0.0506,0.166,0.0455,0.0738,0.496,169.963,235000,4
metal,Stabbing Westward,0.504,0.941,6,-5.796,0,0.0514,1.33e-4,0.048,0.383,0.698,134.918,216840,4
metal,Anvil,0.53,0.946,4,-4.387,0,0.126,1.05e-4,4.45e-4,0.328,0.369,120.006,273480,4
metal,Lindemann,0.41,0.992,0,-5.364,1,0.0905,2.85e-4,0.00144,0.752,0.0776,75.007,246396,4
metal,Bitterwood,0.22,0.913,1,-5.229,1,0.0799,2.72e-5,0.00482,0.166,0.207,90.02,132780,4
metal,Megaraptor,0.447,0.973,2,-9.275,0,0.0383,3.39e-5,0.915,0.429,0.62,135.036,192000,4
metal,Ministry,0.541,0.91,0,-5.114,1,0.0529,4.33e-6,0.597,0.79,0.397,125.076,292587,3
metal,MONO,0.148,0.864,4,-7.92,0,0.0788,5.29e-5,0.616,0.0951,0.197,103.573,336514,4
metal,Darkthrone,0.267,1,4,-4.92,0,0.135,0.016,0.447,0.45,0.0215,138.616,369760,4
metal,MoonSun,0.23,0.913,8,-6.029,0,0.131,0.00893,4.32e-6,0.0784,0.646,194.796,211754,3
metal,Memoremains,0.495,0.842,6,-5.843,0,0.0413,1.38e-5,2.78e-4,0.278,0.509,137.971,209045,4
metal,Nine Inch Nails,0.503,0.903,2,-7.427,1,0.0527,0.0218,0.197,0.0861,0.0586,134.462,178493,1
metal,Erik Ekholm,0.437,0.776,7,-9.259,1,0.0348,1.53e-4,0.816,0.0989,0.193,140.021,243857,4
metal,Celtic Frost,0.153,0.329,3,-5.575,0,0.0362,0.0125,0.918,0.0604,0.0793,102.001,339187,3
metal,Opeth,0.387,0.314,2,-11.956,1,0.0298,0.45,0.445,0.15,0.193,75.148,654413,4
metal,Nuclear Assault,0.515,0.805,2,-8.593,1,0.0423,7.58e-5,0.545,0.105,0.713,124.505,281733,4
metal,Coroner,0.133,0.895,9,-6.546,0,0.0945,1.47e-5,0.0847,0.164,0.194,155.204,292573,1
metal,Ghostemane,0.582,0.692,7,-5.542,0,0.0564,1.44e-4,0.873,0.334,0.282,95.015,147182,4
metal,Sons Of Apollo,0.536,0.987,1,-4.369,1,0.121,1.94e-5,0.414,0.0707,0.278,130.016,306613,4
metal,Wind Rose,0.444,0.958,0,-4.65,1,0.0509,1.68e-5,0.271,0.358,0.677,160.017,272767,4
metal,Whitesnake,0.597,0.92,0,-5.933,1,0.0581,0.0368,7.56e-6,0.0837,0.74,122.417,259067,4
metal,Arch Echo,0.425,0.971,5,-4.978,1,0.137,0.00715,0.0122,0.0866,0.445,164.059,327680,4
metal,Opeth,0.334,0.829,0,-6.436,1,0.036,5.76e-5,0.145,0.0883,0.437,130.154,299853,4
metal,Fourth Circle,0.415,0.928,9,-3.045,1,0.0762,6.07e-5,0.689,0.0661,0.426,150.017,250600,4
metal,Van Halen,0.487,0.948,4,-7.754,1,0.043,6.62e-4,0.102,0.0506,0.242,105.395,321707,4
metal,Rúnahild,0.509,0.569,0,-11.183,1,0.046,0.0757,1.77e-5,0.0973,0.0859,119.969,489411,4
metal,Numenorean,0.41,0.305,10,-17.36,1,0.0311,0.101,0.826,0.134,0.036,85.035,141750,3
metal,Judas Iscariot,0.189,0.999,7,-9.303,0,0.0656,4.13e-5,0.785,0.304,0.0183,95.482,201160,4
metal,Split Cranium,0.255,0.914,5,-9.003,0,0.11,5.82e-5,0.744,0.081,0.0854,194.967,161682,4
metal,Power Trip,0.22,0.982,4,-3.912,1,0.121,5.85e-5,0.289,0.661,0.241,171.928,279811,4
metal,Scorpions,0.588,0.698,10,-5.92,1,0.0353,0.026,0,0.343,0.223,136.312,230013,4
metal,Anthrax,0.329,0.885,9,-10.661,1,0.0904,0.0242,0.00433,0.735,0.481,163.538,259760,4
metal,Valis Ablaze,0.53,0.981,3,-3.433,0,0.125,2.79e-5,0.1,0.561,0.353,104.956,365571,4
metal,Ronnie Atkins,0.465,0.979,7,-7.443,1,0.0575,1.08e-5,2.22e-6,0.0917,0.433,137.029,274547,4
metal,Rotting Christ,0.414,0.827,5,-4.871,1,0.0518,2.35e-5,0.634,0.359,0.155,123.992,283380,4
metal,Blue Stahli,0.521,0.929,1,-6.135,0,0.05,1.03e-5,0.00492,0.365,0.45,104.004,218203,4
metal,Nonpoint,0.464,0.932,1,-4.845,0,0.0992,0.00123,8.03e-4,0.382,0.544,176.01,193585,4
metal,High On Fire,0.228,0.966,1,-5.959,1,0.0565,2.7e-5,0.667,0.337,0.337,139.78,503760,4
metal,Bloody Hammers,0.524,0.937,11,-5.201,1,0.0607,1.89e-4,0.00696,0.121,0.394,116.977,316385,4
metal,Corrosion Of Conformity,0.344,0.911,10,-5.997,1,0.054,5.05e-5,0.00166,0.0642,0.51,135.213,320333,4
metal,(Hed) P.E.,0.666,0.793,6,-6.028,1,0.0647,0.00219,3.49e-6,0.0799,0.454,96.047,240880,4
metal,Megadeth,0.51,0.83,4,-4.586,0,0.0863,4.34e-5,0.21,0.0806,0.483,164.175,265133,4
metal,Rogue,0.392,0.994,11,-4.832,0,0.319,0.00232,1.41e-4,0.0534,0.0558,122.938,229268,4
